stream server start
2024/09/22 09:01:51 [-C---]          0 B       0 bps 
2024/09/22 09:18:16 [CC---]    1260012 B   10550 bps (0) www.gnssdata.or.kr/YONS-RTCM32 
2024/09/22 09:18:21 [CC---]    1266507 B   10068 bps (0) www.gnssdata.or.kr/YONS-RTCM32 
2024/09/22 09:18:26 [CC---]    1273010 B   10535 bps (0) www.gnssdata.or.kr/YONS-RTCM32 
2024/09/22 09:18:31 [CC---]    1279505 B   10100 bps (0) www.gnssdata.or.kr/YONS-RTCM32 
2024/09/22 09:18:36 [CC---]    1286000 B   10535 bps (0) www.gnssdata.or.kr/YONS-RTCM32 
2024/09/22 09:18:41 [CC---]    1292503 B   10110 bps (0) www.gnssdata.or.kr/YONS-RTCM32 
2024/09/22 09:18:46 [CC---]    1299006 B    6166 bps (0) www.gnssdata.or.kr/YONS-RTCM32 
2024/09/22 09:18:51 [CC---]    1305509 B   10090 bps (0) www.gnssdata.or.kr/YONS-RTCM32 
2024/09/22 09:18:56 [CC---]    1312012 B   10535 bps (0) www.gnssdata.or.kr/YONS-RTCM32 
2024/09/22 09:19:01 [CC---]    1318515 B   10100 bps (0) www.gnssdata.or.kr/YONS-RTCM32 
2024/09/22 09:19:06 [CC---]    1324970 B   10402 bps (0) www.gnssdata.or.kr/YONS-RTCM32 
2024/09/22 09:19:11 [CC---]    1331441 B   10078 bps (0) www.gnssdata.or.kr/YONS-RTCM32 
2024/09/22 09:19:16 [CC---]    1337912 B   10513 bps (0) www.gnssdata.or.kr/YONS-RTCM32 
2024/09/22 09:19:21 [CC---]    1344415 B   10110 bps (0) www.gnssdata.or.kr/YONS-RTCM32 
2024/09/22 09:19:26 [CC---]    1350886 B   10476 bps (0) www.gnssdata.or.kr/YONS-RTCM32 
2024/09/22 09:19:31 [CC---]    1357389 B   10110 bps (0) www.gnssdata.or.kr/YONS-RTCM32 
2024/09/22 09:19:36 [CC---]    1363852 B   10476 bps (0) www.gnssdata.or.kr/YONS-RTCM32 
2024/09/22 09:19:41 [CC---]    1370331 B   10073 bps (0) www.gnssdata.or.kr/YONS-RTCM32 
2024/09/22 09:19:46 [CC---]    1376826 B   10492 bps (0) www.gnssdata.or.kr/YONS-RTCM32 
2024/09/22 09:19:51 [CC---]    1383329 B   10136 bps (0) www.gnssdata.or.kr/YONS-RTCM32 
2024/09/22 09:19:56 [CC---]    1389824 B   10540 bps (0) www.gnssdata.or.kr/YONS-RTCM32 
2024/09/22 09:20:01 [CC---]    1396303 B   10058 bps (0) www.gnssdata.or.kr/YONS-RTCM32 
2024/09/22 09:20:06 [CC---]    1402806 B   10535 bps (0) www.gnssdata.or.kr/YONS-RTCM32 
2024/09/22 09:20:11 [CC---]    1409309 B   10110 bps (0) www.gnssdata.or.kr/YONS-RTCM32 
2024/09/22 09:20:16 [CC---]    1415812 B   10540 bps (0) www.gnssdata.or.kr/YONS-RTCM32 
2024/09/22 09:20:21 [CC---]    1422275 B   10014 bps (0) www.gnssdata.or.kr/YONS-RTCM32 
2024/09/22 09:20:26 [CC---]    1428778 B   10545 bps (0) www.gnssdata.or.kr/YONS-RTCM32 
2024/09/22 09:20:31 [CC---]    1435281 B   10090 bps (0) www.gnssdata.or.kr/YONS-RTCM32 
2024/09/22 09:20:36 [CC---]    1441768 B   10466 bps (0) www.gnssdata.or.kr/YONS-RTCM32 
2024/09/22 09:20:41 [CC---]    1448271 B   10105 bps (0) www.gnssdata.or.kr/YONS-RTCM32 
2024/09/22 09:20:46 [CC---]    1454758 B   10540 bps (0) www.gnssdata.or.kr/YONS-RTCM32 
2024/09/22 09:20:51 [CC---]    1461261 B   10105 bps (0) www.gnssdata.or.kr/YONS-RTCM32 
2024/09/22 09:20:56 [CC---]    1467740 B   10476 bps (0) www.gnssdata.or.kr/YONS-RTCM32 
2024/09/22 09:21:01 [CC---]    1474211 B   10031 bps (0) www.gnssdata.or.kr/YONS-RTCM32 
2024/09/22 09:21:06 [CC---]    1480650 B    9968 bps (0) www.gnssdata.or.kr/YONS-RTCM32 
2024/09/22 09:21:11 [CC---]    1487137 B   10110 bps (0) www.gnssdata.or.kr/YONS-RTCM32 
2024/09/22 09:21:16 [CC---]    1493624 B   10120 bps (0) www.gnssdata.or.kr/YONS-RTCM32 
2024/09/22 09:21:21 [CC---]    1500103 B   10068 bps (0) www.gnssdata.or.kr/YONS-RTCM32 
2024/09/22 09:21:26 [CC---]    1506606 B   10105 bps (0) www.gnssdata.or.kr/YONS-RTCM32 
2024/09/22 09:21:31 [CC---]    1513077 B   10031 bps (0) www.gnssdata.or.kr/YONS-RTCM32 
2024/09/22 09:21:36 [CC---]    1519540 B   10078 bps (0) www.gnssdata.or.kr/YONS-RTCM32 
